management.M1 soil_type.CL soil_type.SL precipitation relative_irrigation number_of_trips_reduction relative_profit_percentage
1 1 0 0 1 0 0.216142222
1 1 0 0 0.75 0 0.138426144
1 1 0 0 0.5 0 0.027403175
1 1 0 0 1 1 0.166189899
1 1 0 0 0.75 1 0.14888366
1 1 0 0 0.5 1 0.040101587
1 1 0 0 1 2 0.100463158
1 1 0 0 0.75 2 0.100463158
1 1 0 0 0.5 2 0.0528
1 1 0 1 1 0 0.266247111
1 1 0 1 0.75 0 0.185250719
1 1 0 1 0.5 0 0.069541587
1 1 0 1 1 1 0.195708235
1 1 0 1 0.75 1 0.195708235
1 1 0 1 0.5 1 0.08224
1 1 0 1 1 2 0.094938413
1 1 0 1 0.75 2 0.094938413
1 1 0 1 0.5 2 0.094938413
1 1 0 2 1 0 0.316352
1 1 0 2 0.75 0 0.232075294
1 1 0 2 0.5 0 0.11168
1 1 0 2 1 1 0.208071111
1 1 0 2 0.75 1 0.208071111
1 1 0 2 0.5 1 0.124378413
1 1 0 2 1 2 0.027602963
1 1 0 2 0.75 2 0.027602963
1 1 0 2 0.5 2 0.027602963
1 1 0 0 1 0 0.216142222
1 1 0 0 0.75 0 0.138426144
1 1 0 0 0.5 0 0.027403175
1 1 0 0 1 1 0.166189899
1 1 0 0 0.75 1 0.14888366
1 1 0 0 0.5 1 0.040101587
1 1 0 0 1 2 0.100463158
1 1 0 0 0.75 2 0.100463158
1 1 0 0 0.5 2 0.0528
1 1 0 1 1 0 0.216142222
1 1 0 1 0.75 0 0.138426144
1 1 0 1 0.5 0 0.027403175
1 1 0 1 1 1 0.166189899
1 1 0 1 0.75 1 0.14888366
1 1 0 1 0.5 1 0.040101587
1 1 0 1 1 2 0.100463158
1 1 0 1 0.75 2 0.100463158
1 1 0 1 0.5 2 0.0528
1 1 0 2 1 0 0.316352
1 1 0 2 0.75 0 0.232075294
1 1 0 2 0.5 0 0.11168
1 1 0 2 1 1 0.208071111
1 1 0 2 0.75 1 0.208071111
1 1 0 2 0.5 1 0.124378413
1 1 0 2 1 2 0.027602963
1 1 0 2 0.75 2 0.027602963
1 1 0 2 0.5 2 0.027602963
1 1 0 0 1 0 0.305742222
1 1 0 0 0.75 0 0.217484967
1 1 0 0 0.5 0 0.091403175
1 1 0 0 1 1 0.247644444
1 1 0 0 0.75 1 0.227942484
1 1 0 0 0.5 1 0.104101587
1 1 0 0 1 2 0.1712
1 1 0 0 0.75 2 0.1712
1 1 0 0 0.5 2 0.1168
1 1 0 1 1 0 0.337927111
1 1 0 1 0.75 0 0.248497778
1 1 0 1 0.5 0 0.120741587
1 1 0 1 1 1 0.258955294
1 1 0 1 0.75 1 0.258955294
1 1 0 1 0.5 1 0.13344
1 1 0 1 1 2 0.146138413
1 1 0 1 0.75 2 0.146138413
1 1 0 1 0.5 2 0.146138413
1 1 0 2 1 0 0.370112
1 1 0 2 0.75 0 0.279510588
1 1 0 2 0.5 0 0.15008
1 1 0 2 1 1 0.252871111
1 1 0 2 0.75 1 0.252871111
